campaign_id,restaurant_id,assignment_group,assigned_date
CMP-003,R-0003,treatment,2025-12-12
CMP-003,R-0004,control,2026-03-05
CMP-003,R-0005,control,2025-11-17
CMP-003,R-0007,control,2026-04-03
CMP-003,R-0008,control,2026-04-18
CMP-003,R-0011,treatment,2026-06-07
CMP-003,R-0012,control,2026-01-28
CMP-003,R-0014,treatment,2026-04-21
CMP-003,R-0016,control,2026-02-07
CMP-003,R-0018,treatment,2026-06-12
CMP-003,R-0019,control,2026-05-27
CMP-003,R-0020,control,2025-10-15
CMP-003,R-0021,control,2026-04-25
CMP-003,R-0024,treatment,2025-10-05
CMP-003,R-0026,control,2026-03-09
CMP-001,R-0027,targeted,2025-07-01
CMP-003,R-0029,control,2026-02-28
CMP-003,R-0030,treatment,2025-11-04
CMP-003,R-0031,control,2026-03-18
CMP-003,R-0032,control,2025-12-17
CMP-001,R-0035,targeted,2025-08-06
CMP-003,R-0036,treatment,2025-12-12
CMP-003,R-0039,control,2026-05-24
CMP-003,R-0040,control,2026-03-02
CMP-003,R-0041,treatment,2026-03-21
CMP-003,R-0043,control,2026-03-03
CMP-001,R-0044,targeted,2025-07-24
CMP-003,R-0045,treatment,2026-01-26
CMP-003,R-0047,control,2026-05-16
CMP-003,R-0054,treatment,2026-05-23
CMP-003,R-0055,treatment,2025-10-31
CMP-001,R-0059,targeted,2025-07-30
CMP-003,R-0060,treatment,2026-05-08
CMP-001,R-0062,targeted,2025-09-05
CMP-003,R-0063,control,2026-03-02
CMP-003,R-0065,control,2025-11-13
CMP-001,R-0066,targeted,2025-08-21
CMP-003,R-0068,treatment,2026-05-29
CMP-003,R-0069,treatment,2026-05-27
CMP-003,R-0073,treatment,2026-06-25
CMP-001,R-0075,targeted,2025-08-28
CMP-003,R-0078,control,2026-02-11
CMP-003,R-0080,treatment,2025-10-06
CMP-003,R-0082,treatment,2026-02-02
CMP-003,R-0085,control,2026-03-17
CMP-003,R-0086,control,2026-03-13
CMP-003,R-0089,control,2025-10-22
CMP-003,R-0094,control,2026-06-21
CMP-003,R-0096,treatment,2026-05-18
CMP-001,R-0097,targeted,2025-08-10
CMP-003,R-0098,control,2026-01-15
CMP-001,R-0099,targeted,2025-08-19
CMP-003,R-0102,control,2025-10-20
CMP-003,R-0108,treatment,2026-05-01
CMP-003,R-0109,treatment,2025-12-23
CMP-003,R-0112,treatment,2026-02-07
CMP-003,R-0113,control,2026-05-13
CMP-003,R-0114,control,2025-12-16
CMP-001,R-0115,targeted,2025-09-05
CMP-003,R-0117,control,2026-01-29
CMP-001,R-0120,targeted,2025-09-15
CMP-003,R-0121,control,2025-11-08
CMP-003,R-0122,treatment,2026-06-28
CMP-003,R-0125,treatment,2025-12-30
CMP-003,R-0127,treatment,2026-02-03
CMP-001,R-0128,targeted,2025-09-30
CMP-003,R-0130,treatment,2026-04-21
CMP-003,R-0131,control,2026-02-21
CMP-001,R-0132,targeted,2025-08-09
CMP-003,R-0133,control,2026-05-29
CMP-003,R-0134,treatment,2026-05-03
CMP-003,R-0135,control,2025-12-09
CMP-001,R-0140,targeted,2025-09-06
CMP-003,R-0145,treatment,2025-12-31
CMP-003,R-0148,treatment,2026-04-05
CMP-003,R-0151,control,2026-04-03
CMP-003,R-0152,treatment,2026-01-24
CMP-003,R-0153,control,2026-01-17
CMP-003,R-0155,control,2025-10-25
CMP-003,R-0157,control,2026-03-07
CMP-003,R-0158,control,2025-12-19
CMP-003,R-0159,control,2026-04-15
CMP-003,R-0160,treatment,2026-01-04
CMP-003,R-0161,treatment,2025-10-14
CMP-003,R-0165,control,2026-05-27
CMP-003,R-0166,control,2025-12-25
CMP-003,R-0167,treatment,2026-04-26
CMP-003,R-0168,control,2026-01-01
CMP-001,R-0170,targeted,2025-09-27
CMP-003,R-0176,control,2026-04-23
CMP-003,R-0177,control,2026-02-13
CMP-003,R-0178,treatment,2026-01-14
CMP-003,R-0179,control,2025-10-08
CMP-003,R-0180,treatment,2026-02-04
CMP-003,R-0181,treatment,2026-02-19
CMP-003,R-0182,control,2026-02-01
CMP-001,R-0183,targeted,2025-07-03
CMP-003,R-0185,treatment,2026-06-20
CMP-003,R-0186,treatment,2026-06-17
CMP-003,R-0188,treatment,2026-02-07
CMP-003,R-0189,control,2026-03-22
CMP-003,R-0191,treatment,2026-04-14
CMP-003,R-0197,control,2026-04-03
CMP-001,R-0200,targeted,2025-08-11
