order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status,order_month,is_completed,net_order_value_eur
ORD-0132550,R-0324,2025-01-06,25.15,app,delivery,completed,2025-01-01,1,25.15
ORD-0132553,R-0324,2025-01-06,16.2,app,delivery,completed,2025-01-01,1,16.2
ORD-0244698,R-0568,2025-01-07,51.03,web,delivery,completed,2025-01-01,1,51.03
ORD-0244690,R-0568,2025-01-08,29.95,app,pickup,completed,2025-01-01,1,29.95
ORD-0249487,R-0586,2025-01-08,29.24,web,pickup,completed,2025-01-01,1,29.24
ORD-0249486,R-0586,2025-01-09,21.01,app,delivery,completed,2025-01-01,1,21.01
ORD-0249495,R-0586,2025-01-09,19.11,app,delivery,completed,2025-01-01,1,19.11
ORD-0230279,R-0538,2025-01-09,28.22,web,pickup,completed,2025-01-01,1,28.22
ORD-0244693,R-0568,2025-01-09,48.47,web,pickup,completed,2025-01-01,1,48.47
ORD-0230286,R-0538,2025-01-09,13.71,app,pickup,completed,2025-01-01,1,13.71
ORD-0005784,R-0010,2025-01-09,48.31,web,delivery,cancelled,2025-01-01,0,0.0
ORD-0025556,R-0050,2025-01-10,11.7,app,delivery,cancelled,2025-01-01,0,0.0
ORD-0244701,R-0568,2025-01-10,38.15,app,delivery,completed,2025-01-01,1,38.15
ORD-0230312,R-0538,2025-01-10,33.14,web,pickup,completed,2025-01-01,1,33.14
ORD-0005783,R-0010,2025-01-10,56.13,web,delivery,completed,2025-01-01,1,56.13
ORD-0132540,R-0324,2025-01-10,25.38,app,delivery,completed,2025-01-01,1,25.38
ORD-0230305,R-0538,2025-01-10,32.99,web,pickup,completed,2025-01-01,1,32.99
ORD-0005779,R-0010,2025-01-10,27.55,app,pickup,completed,2025-01-01,1,27.55
ORD-0230283,R-0538,2025-01-10,44.56,app,pickup,completed,2025-01-01,1,44.56
ORD-0132549,R-0324,2025-01-10,33.21,app,delivery,completed,2025-01-01,1,33.21
ORD-0132548,R-0324,2025-01-10,42.22,app,delivery,completed,2025-01-01,1,42.22
ORD-0132543,R-0324,2025-01-10,24.26,app,delivery,completed,2025-01-01,1,24.26
ORD-0230306,R-0538,2025-01-10,43.82,app,delivery,completed,2025-01-01,1,43.82
ORD-0005780,R-0010,2025-01-10,55.16,web,pickup,completed,2025-01-01,1,55.16
ORD-0230293,R-0538,2025-01-11,36.28,app,delivery,completed,2025-01-01,1,36.28
ORD-0230280,R-0538,2025-01-11,29.83,web,delivery,completed,2025-01-01,1,29.83
ORD-0025550,R-0050,2025-01-11,31.81,app,pickup,completed,2025-01-01,1,31.81
ORD-0245809,R-0570,2025-01-11,23.88,web,delivery,completed,2025-01-01,1,23.88
ORD-0005767,R-0010,2025-01-11,23.18,web,delivery,completed,2025-01-01,1,23.18
ORD-0005790,R-0010,2025-01-11,93.59,web,delivery,completed,2025-01-01,1,93.59
ORD-0249489,R-0586,2025-01-11,18.87,app,delivery,cancelled,2025-01-01,0,0.0
ORD-0245795,R-0570,2025-01-12,15.95,web,delivery,completed,2025-01-01,1,15.95
ORD-0245787,R-0570,2025-01-12,25.37,web,delivery,completed,2025-01-01,1,25.37
ORD-0230296,R-0538,2025-01-12,33.46,web,delivery,completed,2025-01-01,1,33.46
ORD-0005782,R-0010,2025-01-12,34.54,web,delivery,completed,2025-01-01,1,34.54
ORD-0245806,R-0570,2025-01-12,31.16,app,delivery,completed,2025-01-01,1,31.16
ORD-0005789,R-0010,2025-01-12,42.2,web,pickup,completed,2025-01-01,1,42.2
ORD-0249497,R-0586,2025-01-12,28.53,app,pickup,completed,2025-01-01,1,28.53
ORD-0245783,R-0570,2025-01-13,72.51,app,delivery,completed,2025-01-01,1,72.51
ORD-0132542,R-0324,2025-01-13,37.26,app,pickup,completed,2025-01-01,1,37.26
ORD-0245802,R-0570,2025-01-13,21.13,app,delivery,completed,2025-01-01,1,21.13
ORD-0005786,R-0010,2025-01-13,51.78,web,delivery,completed,2025-01-01,1,51.78
ORD-0230290,R-0538,2025-01-13,15.28,web,pickup,completed,2025-01-01,1,15.28
ORD-0005773,R-0010,2025-01-14,42.38,web,delivery,completed,2025-01-01,1,42.38
ORD-0245804,R-0570,2025-01-14,42.84,web,delivery,completed,2025-01-01,1,42.84
ORD-0244696,R-0568,2025-01-15,29.49,app,delivery,completed,2025-01-01,1,29.49
ORD-0048722,R-0119,2025-01-15,19.78,app,pickup,completed,2025-01-01,1,19.78
ORD-0230281,R-0538,2025-01-15,30.41,web,delivery,completed,2025-01-01,1,30.41
ORD-0132547,R-0324,2025-01-16,27.96,app,delivery,completed,2025-01-01,1,27.96
ORD-0152162,R-0363,2025-01-16,19.24,web,pickup,completed,2025-01-01,1,19.24
ORD-0245798,R-0570,2025-01-16,27.65,app,delivery,cancelled,2025-01-01,0,0.0
ORD-0244703,R-0568,2025-01-16,52.87,app,delivery,completed,2025-01-01,1,52.87
