restaurant_id,market,city_size,cuisine_type,is_chain,acquisition_channel,signup_date,signup_month,signup_cohort,month,plan_id,mrr_eur,is_active,orders,gmv_eur,average_order_value_eur,cancellation_rate,tickets,csat,tenure_months,previous_month_orders,rolling_3m_orders,activity_ratio,cumulative_tickets,peak_orders,peak_order_ratio,trend_3m,months_below_average,next_month_mrr,next_month_active,next_month_gmv,next_month_churn
R-0001,DE,Mid,Chinese,1,Direct sales,2026-08-14,2026-08-01,2026-08,2026-08-01,PL-02,99.0,1,17.0,589.93,34.70176470588235,0.05555555555555555,0.0,,0,,,,0.0,17.0,1.0,,0.0,,,,
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2025-09-01,PL-04,349.0,1,25.0,656.69,26.2676,0.07407407407407407,1.0,5.0,0,,,,1.0,25.0,1.0,,0.0,349.0,1.0,1176.51,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2025-10-01,PL-04,349.0,1,38.0,1176.51,30.960789473684212,0.02564102564102564,1.0,5.0,1,25.0,25.0,1.52,2.0,38.0,1.0,,0.0,349.0,1.0,2501.98,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2025-11-01,PL-04,349.0,1,81.0,2501.98,30.88864197530864,0.03571428571428571,0.0,,2,38.0,31.5,2.5714285714285716,2.0,81.0,1.0,,0.0,349.0,1.0,2321.41,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2025-12-01,PL-04,349.0,1,74.0,2321.41,31.370405405405403,0.0975609756097561,0.0,,3,81.0,48.0,1.5416666666666667,2.0,81.0,0.9135802469135802,,0.0,349.0,1.0,995.46,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-01-01,PL-04,349.0,1,31.0,995.46,32.111612903225804,0.11428571428571428,1.0,3.0,4,74.0,64.33333333333333,0.4818652849740933,3.0,81.0,0.38271604938271603,2.5733333333333333,1.0,0.0,0.0,0.0,1.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-02-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,5,31.0,62.0,0.0,3.0,81.0,0.0,1.9682539682539681,2.0,0.0,0.0,0.0,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-03-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,6,0.0,35.0,0.0,3.0,81.0,0.0,0.7291666666666666,3.0,0.0,0.0,0.0,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-04-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,7,0.0,10.333333333333334,0.0,3.0,81.0,0.0,0.1606217616580311,4.0,0.0,0.0,0.0,0.0
R-0002,UK,Mid,Chinese,0,Referral,2025-09-02,2025-09-01,2025-09,2026-05-01,,0.0,0,0.0,0.0,0.0,0.0,0.0,,8,0.0,0.0,,3.0,81.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
