order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status
ORD-0005791,R-0010,2025-02-18,41.61,app,pickup,completed
ORD-0005792,R-0010,2025-02-21,54.51,web,delivery,cancelled
ORD-0005793,R-0010,2025-02-07,69.65,web,delivery,completed
ORD-0005794,R-0010,2025-02-04,67.35,web,pickup,completed
ORD-0005795,R-0010,2025-02-13,33.80,web,delivery,cancelled
ORD-0005796,R-0010,2025-02-13,30.88,web,delivery,completed
ORD-0005797,R-0010,2025-02-05,63.27,app,pickup,completed
ORD-0005798,R-0010,2025-02-06,50.56,web,pickup,completed
ORD-0005799,R-0010,2025-02-14,57.43,app,pickup,completed
ORD-0005800,R-0010,2025-02-15,35.97,web,delivery,cancelled
ORD-0005801,R-0010,2025-02-15,58.50,web,pickup,completed
ORD-0005802,R-0010,2025-02-28,30.59,app,pickup,completed
ORD-0005803,R-0010,2025-02-01,50.54,web,delivery,COMPLETED
ORD-0005804,R-0010,2025-02-22,48.04,web,delivery,completed
ORD-0005805,R-0010,2025-02-10,44.60,app,delivery,completed
ORD-0005806,R-0010,2025-02-22,61.71,web,delivery,completed
ORD-0005807,R-0010,2025-02-21,31.45,web,delivery,completed
ORD-0005808,R-0010,2025-02-18,54.96,web,pickup,completed
ORD-0005809,R-0010,2025-02-18,42.99,web,pickup,completed
ORD-0005810,R-0010,2025-02-19,31.72,app,delivery,completed
ORD-0005811,R-0010,2025-02-21,28.10,web,pickup,cancelled
ORD-0005812,R-0010,2025-02-04,86.48,web,delivery,completed
ORD-0005813,R-0010,2025-02-10,41.57,web,delivery,completed
ORD-0005814,R-0010,2025-02-24,37.35,web,pickup,completed
ORD-0005815,R-0010,2025-02-15,30.03,web,delivery,completed
ORD-0005816,R-0010,2025-02-04,64.11,app,pickup,completed
ORD-0005817,R-0010,2025-02-28,67.26,app,delivery,completed
ORD-0005818,R-0010,2025-02-28,62.58,web,delivery,COMPLETED
ORD-0005819,R-0010,2025-02-15,45.03,app,pickup,completed
ORD-0005820,R-0010,2025-02-15,61.03,web,delivery,completed
ORD-0005821,R-0010,2025-02-08,33.85,app,delivery,completed
ORD-0005822,R-0010,2025-02-15,49.98,web,pickup,completed
ORD-0005823,R-0010,2025-02-28,45.15,web,pickup,completed
ORD-0005824,R-0010,2025-02-08,50.91,app,pickup,completed
ORD-0005825,R-0010,2025-02-09,23.38,web,pickup,completed
ORD-0005826,R-0010,2025-02-26,85.87,web,delivery,completed
ORD-0005827,R-0010,2025-02-11,78.17,web,delivery,completed
ORD-0005828,R-0010,2025-02-28,29.96,web,pickup,Completed
ORD-0005829,R-0010,2025-02-10,52.95,app,delivery,completed
ORD-0005830,R-0010,2025-02-01,26.41,web,pickup,completed
ORD-0005831,R-0010,2025-02-28,47.54,web,delivery,Completed
ORD-0005832,R-0010,2025-02-07,20.26,web,pickup,completed
ORD-0005833,R-0010,2025-02-20,38.24,web,pickup,completed
ORD-0005834,R-0010,2025-02-01,38.39,web,delivery,completed
ORD-0005835,R-0010,2025-02-21,71.03,web,delivery,refunded
ORD-0005836,R-0010,2025-02-07,86.02,app,pickup,completed
ORD-0005837,R-0010,2025-02-22,86.74,web,delivery,completed
ORD-0005838,R-0010,2025-02-28,71.07,web,delivery,completed
ORD-0005839,R-0010,2025-02-01,47.52,web,delivery,completed
ORD-0005840,R-0010,2025-02-11,49.33,web,delivery,completed
ORD-0005841,R-0010,2025-02-21,53.18,web,delivery,completed
ORD-0005842,R-0010,2025-02-28,29.62,web,delivery,Completed
ORD-0005843,R-0010,2025-02-10,65.50,app,delivery,completed
ORD-0005844,R-0010,2025-02-28,59.65,web,pickup,completed
ORD-0005845,R-0010,2025-02-26,56.20,app,delivery,Completed
ORD-0005846,R-0010,2025-02-21,19.62,web,pickup,completed
ORD-0016051,R-0025,2025-02-27,30.38,web,delivery,completed
ORD-0016052,R-0025,2025-02-16,24.65,web,delivery,refunded
ORD-0016053,R-0025,2025-02-09,21.27,web,delivery,completed
ORD-0016054,R-0025,2025-02-08,29.08,app,delivery,completed
ORD-0016055,R-0025,2025-02-16,16.64,web,delivery,completed
ORD-0016056,R-0025,2025-02-28,44.73,web,delivery,COMPLETED
ORD-0016057,R-0025,2025-02-14,42.74,web,delivery,completed
ORD-0016058,R-0025,2025-02-28,19.91,web,pickup,refunded
ORD-0016059,R-0025,2025-02-21,24.31,web,delivery,completed
ORD-0016060,R-0025,2025-02-21,22.58,app,pickup,completed
ORD-0016061,R-0025,2025-02-05,18.02,app,delivery,Completed
ORD-0016062,R-0025,2025-02-06,30.17,app,pickup,completed
ORD-0016063,R-0025,2025-02-21,13.90,app,delivery,completed
ORD-0016064,R-0025,2025-02-05,19.01,app,delivery,completed
ORD-0016065,R-0025,2025-02-15,28.14,web,delivery,completed
ORD-0016066,R-0025,2025-02-15,40.92,app,delivery,Completed
ORD-0016067,R-0025,2025-02-21,38.14,app,delivery,completed
ORD-0016068,R-0025,2025-02-15,18.32,app,delivery,completed
ORD-0016069,R-0025,2025-02-07,17.68,web,delivery,completed
ORD-0016070,R-0025,2025-02-22,20.15,web,delivery,completed
ORD-0016071,R-0025,2025-02-22,39.06,app,delivery,completed
ORD-0016072,R-0025,2025-02-01,27.04,app,delivery,COMPLETED
ORD-0016073,R-0025,2025-02-15,64.82,web,delivery,completed
ORD-0016074,R-0025,2025-02-02,29.33,web,pickup,completed
ORD-0016075,R-0025,2025-02-03,39.59,app,delivery,completed
ORD-0016076,R-0025,2025-02-02,22.62,web,delivery,COMPLETED
ORD-0016077,R-0025,2025-02-22,17.43,app,delivery,completed
ORD-0016078,R-0025,2025-02-16,55.28,app,delivery,completed
ORD-0016079,R-0025,2025-02-15,14.58,web,delivery,completed
ORD-0016080,R-0025,2025-02-07,25.83,app,delivery,Completed
ORD-0016081,R-0025,2025-02-01,24.42,web,delivery,completed
ORD-0016082,R-0025,2025-02-07,18.94,web,delivery,completed
ORD-0016083,R-0025,2025-02-09,26.62,web,delivery,completed
ORD-0016084,R-0025,2025-02-24,20.53,app,delivery,completed
ORD-0016085,R-0025,2025-02-05,15.87,app,delivery,Completed
ORD-0016086,R-0025,2025-02-07,14.75,web,delivery,Completed
ORD-0016087,R-0025,2025-02-04,25.36,web,pickup,completed
ORD-0016088,R-0025,2025-02-22,17.67,app,pickup,completed
ORD-0016089,R-0025,2025-02-05,17.96,web,delivery,completed
ORD-0016090,R-0025,2025-02-03,16.12,web,delivery,completed
ORD-0016091,R-0025,2025-02-15,17.58,app,pickup,completed
ORD-0016092,R-0025,2025-02-15,22.17,app,delivery,completed
ORD-0016093,R-0025,2025-02-13,13.87,app,delivery,completed
ORD-0016094,R-0025,2025-02-24,19.34,app,delivery,completed
ORD-0016095,R-0025,2025-02-16,28.70,app,delivery,completed
ORD-0016096,R-0025,2025-02-01,29.05,app,delivery,completed
ORD-0016097,R-0025,2025-02-09,19.53,web,delivery,completed
ORD-0016098,R-0025,2025-02-22,17.98,app,delivery,completed
ORD-0016099,R-0025,2025-02-04,33.10,web,delivery,cancelled
ORD-0016100,R-0025,2025-02-24,25.02,web,delivery,completed
ORD-0016101,R-0025,2025-02-15,28.09,web,delivery,Completed
ORD-0016102,R-0025,2025-02-09,36.63,app,delivery,completed
ORD-0016103,R-0025,2025-02-07,33.99,app,delivery,completed
ORD-0016104,R-0025,2025-02-09,32.06,app,delivery,completed
ORD-0016105,R-0025,2025-02-02,12.41,web,pickup,completed
