restaurant_id,restaurant_name,market,city,city_size,cuisine_type,is_chain,acquisition_channel,signup_date
R-0001,Chinese Cologne 0001,Germany,Cologne,Mid,Chinese,1,Direct sales,2026-08-14
R-0002,Chinese Bristol 0002,United Kingdom,Bristol,Mid,Chinese,0,Referral,2025-09-02
R-0003,Burger Esbjerg 0003,DK,Esbjerg,Metro,Burger,1,Inbound,2025-12-12
R-0004,Pizza Cologne 0004,DE,Cologne,Metro,Pizza,0,Inbound,05/03/2026
R-0005,Kebab Birmingham 0005,UK,Birmingham,Metro,Kebab,1,Referral,17/11/2025
R-0006,Indian Munich 0006,DE,Munich,Metro,Indian,1,Direct sales,2025-03-13
R-0007,Pizza Esbjerg 0007,DK,Esbjerg,Small,Pizza,0,Referral,03/04/2026
R-0008,Pizza Esbjerg 0008,DK,Esbjerg,Small,Pizza,0,Partner,2026-04-18
R-0009,Pizza Copenhagen 0009,DK,Copenhagen,Small,Pizza,0,Paid search,2025-09-18
R-0010,Sushi Bristol 0010,UK,Bristol,Mid,Sushi,0,Direct sales,2025-01-09
R-0011,Pizza Stavanger 0011,Norway,Stavanger,Mid,Pizza,0,Paid search,2026-06-07
R-0012,Indian Stockholm 0012,SE,Stockholm,Small,Indian,0,Partner,28/01/2026
R-0013,Pizza Stavanger 0013,NO,Stavanger,Mid,Pizza,0,Paid search,2025-06-05
R-0014,Kebab Bristol 0014,UK,Bristol,Metro,Kebab,0,Direct sales,2026-04-21
R-0015,Kebab Gothenburg 0015,SE,Gothenburg,Mid,Kebab,1,Partner,01/05/2025
R-0016,Kebab Munich 0016,DE,Munich,Mid,Kebab,0,Partner,2026-02-07
R-0017,Pizza Odense 0017,DK,  Odense ,Small,Pizza,0,Direct sales,2025-05-19
R-0018,Sushi Frankfurt 0018,DE,Frankfurt,Mid,Sushi,0,Direct sales,12/06/2026
R-0019,Nordic Esbjerg 0019,DK,Esbjerg,Small,Nordic,0,Direct sales,2026-05-27
R-0020,Burger Odense 0020,DK,ODENSE,Metro,Burger,0,Partner,2025-10-15
R-0021,Kebab Manchester 0021,UK,Manchester,Mid,Kebab,0,Paid search,2026-04-25
R-0022,Kebab Stockholm 0022,SE,Stockholm,Mid,Kebab,0,Direct sales,2026-08-25
R-0023,Kebab Munich 0023,DE,Munich,Small,Kebab,1,Inbound,2025-04-15
R-0024,Pizza Aarhus 0024,DK,Aarhus,Small,Pizza,0,Paid search,2025-10-05
R-0025,Pizza Stavanger 0025,NO,Stavanger,Mid,,0,Direct sales,2025-01-20
R-0026,Chinese Trondheim 0026,no,Trondheim,Metro,Chinese,0,Paid search,2026-03-09
R-0027,Pizza Copenhagen 0027,DK,Copenhagen,Mid,Pizza,0,Referral,2025-07-01
R-0028,Pizza London 0028,UK,London,Mid,Pizza,0,Partner,2025-08-27
R-0029,Burger Aarhus 0029,Denmark,AARHUS,Mid,Burger,0,Direct sales,28/02/2026
R-0030,Pizza London 0030,United Kingdom,London,Metro,Pizza,0,Inbound,2025-11-04
R-0031,Kebab Copenhagen 0031,DK,Copenhagen,Mid,Kebab,0,Inbound,18/03/2026
R-0032,Indian Leeds 0032,UK,  Leeds ,Metro,,0,Referral,2025-12-17
R-0033,Burger Trondheim 0033,no,  Trondheim ,Metro,Burger,0,Paid search,2025-04-26
R-0034,Pizza Aalborg 0034,DK,Aalborg,Metro,Pizza,0,Paid search,2026-08-17
R-0035,Nordic Aarhus 0035,DK,Aarhus,Metro,N/A,0,Inbound,2025-08-06
R-0036,Kebab Aalborg 0036,DK,AALBORG,Metro,Kebab,0,Inbound,2025-12-12
R-0037,Thai Esbjerg 0037,DK,Esbjerg,Metro,Thai,0,Inbound,2025-06-28
