ticket_id,restaurant_id,ticket_date,category,resolution_hours,satisfaction_score
T-000001,R-0002,2025-09-12,Onboarding,20.9,5
T-000002,R-0002,2025-10-15,Technical,1.3,5
T-000003,R-0002,2026-01-31,Onboarding,6.6,3
T-000004,R-0003,2026-03-11,Billing,21.2,5
T-000005,R-0003,2026-05-07,Onboarding,25.6,5
T-000006,R-0004,2026-03-20,Billing,0.8,2
T-000007,R-0004,2026-06-03,Payments,22.5,5
T-000008,R-0004,2026-06-22,Billing,10.3,4
T-000009,R-0004,2026-08-25,Onboarding,19.8,4
T-000010,R-0005,2025-11-19,Billing,9.2,4
T-000011,R-0005,2026-02-02,Payments,7.7,4
T-000012,R-0005,2026-06-17,Payments,6.8,4
T-000013,R-0005,2026-08-20,Onboarding,8.5,5
T-000014,R-0006,2025-10-31,Menu,15.2,5
T-000015,R-0006,2025-11-27,Technical,17.9,2
T-000016,R-0006,2026-04-13,Onboarding,23.9,4
T-000017,R-0006,2026-07-27,Menu,2.9,5
T-000018,R-0007,2026-05-04,Onboarding,9.6,5
T-000019,R-0008,2026-06-27,Menu,5.1,3
T-000020,R-0009,2025-09-28,Billing,9.2,3
T-000021,R-0009,2025-09-28,Billing,4.7,5
T-000022,R-0009,2025-09-21,Onboarding,24.4,2
T-000023,R-0009,2025-11-20,Onboarding,7.9,4
T-000024,R-0009,2025-11-18,Menu,7.9,3
T-000025,R-0009,2026-02-28,Onboarding,8.5,4
T-000026,R-0009,2026-04-26,Onboarding,2.4,3
T-000027,R-0009,2026-05-26,Menu,2.5,4
T-000028,R-0009,2026-05-08,Onboarding,25.9,2
T-000029,R-0009,2026-05-03,Technical,10.1,4
T-000030,R-0009,2026-05-15,Billing,39.9,3
T-000031,R-0010,2025-04-19,Onboarding,6.3,4
T-000032,R-0010,2025-12-21,Billing,11.6,5
T-000033,R-0010,2026-01-26,Payments,3.0,5
T-000034,R-0010,2026-02-14,Technical,10.9,5
T-000035,R-0010,2026-03-24,Technical,12.8,4
T-000036,R-0010,2026-03-17,Technical,4.1,3
T-000037,R-0010,2026-04-13,Billing,6.4,1
T-000038,R-0012,2026-01-30,Onboarding,6.0,2
T-000039,R-0012,2026-06-02,Menu,28.4,5
T-000040,R-0012,2026-07-13,Technical,7.4,4
T-000041,R-0014,2026-04-25,Billing,9.6,3
T-000042,R-0015,2025-06-30,Technical,19.7,5
T-000043,R-0015,2025-09-21,Technical,5.4,5
T-000044,R-0015,2026-02-22,Payments,13.0,3
T-000045,R-0015,2026-02-22,Payments,2.0,1
T-000046,R-0015,2026-03-24,Technical,7.3,4
T-000047,R-0017,2025-12-10,Technical,16.2,3
T-000048,R-0017,2026-02-10,Onboarding,4.2,4
T-000049,R-0017,2026-06-06,Payments,21.2,2
T-000050,R-0017,2026-07-23,Billing,6.1,4
T-000051,R-0018,2026-08-02,Payments,10.6,4
T-000052,R-0020,2025-10-26,Technical,6.2,2
T-000053,R-0020,2025-10-22,Billing,6.0,5
T-000054,R-0020,2025-12-23,Onboarding,18.9,4
T-000055,R-0020,2026-01-30,Onboarding,6.8,3
T-000056,R-0020,2026-01-10,Onboarding,5.2,2
T-000057,R-0020,2026-02-06,Onboarding,9.5,4
T-000058,R-0020,2026-04-17,Payments,16.8,5
T-000059,R-0020,2026-06-06,Technical,9.1,4
T-000060,R-0020,2026-07-06,Onboarding,18.6,4
T-000061,R-0020,2026-08-04,Menu,6.6,2
T-000062,R-0021,2026-04-28,Billing,1.7,3
T-000063,R-0021,2026-04-30,Billing,3.2,3
T-000064,R-0021,2026-04-30,Technical,25.2,4
T-000065,R-0021,2026-04-28,Payments,15.0,5
T-000066,R-0021,2026-07-22,Billing,20.4,5
T-000067,R-0021,2026-07-20,Technical,22.9,5
T-000068,R-0021,2026-08-08,Technical,15.7,5
T-000069,R-0022,2026-08-25,Technical,7.2,5
T-000070,R-0023,2025-04-24,Technical,12.3,2
T-000071,R-0023,2025-04-24,Payments,5.0,5
T-000072,R-0023,2025-04-26,Payments,18.9,4
T-000073,R-0023,2025-09-05,Menu,10.9,4
T-000074,R-0023,2025-09-05,Payments,21.6,4
T-000075,R-0023,2025-10-17,Onboarding,5.6,4
T-000076,R-0023,2025-10-30,Onboarding,9.8,5
T-000077,R-0023,2025-10-08,Technical,11.2,5
T-000078,R-0023,2025-11-25,Menu,7.2,5
T-000079,R-0023,2026-03-24,Billing,8.7,5
T-000080,R-0023,2026-07-20,Menu,12.8,4
T-000081,R-0024,2025-10-25,Menu,3.5,5
T-000082,R-0024,2026-02-28,Billing,1.2,3
T-000083,R-0024,2026-02-13,Billing,4.6,3
T-000084,R-0024,2026-02-16,Billing,7.7,4
T-000085,R-0024,2026-04-26,Onboarding,3.9,5
T-000086,R-0024,2026-07-18,Technical,5.0,5
T-000087,R-0024,2026-08-17,Onboarding,17.6,3
T-000088,R-0024,2026-08-28,Onboarding,15.2,5
T-000089,R-0024,2026-08-24,Technical,5.8,5
T-000090,R-0024,2026-08-09,Onboarding,19.7,5
T-000091,R-0025,2025-01-20,Payments,26.6,5
T-000092,R-0026,2026-04-08,Billing,11.7,3
T-000093,R-0026,2026-07-13,Billing,3.1,5
T-000094,R-0026,2026-07-13,Technical,18.6,2
T-000095,R-0027,2025-07-01,Billing,12.0,4
T-000096,R-0027,2025-08-17,Technical,3.4,4
T-000097,R-0027,2025-10-15,Onboarding,19.4,4
T-000098,R-0027,2025-11-06,Payments,5.9,4
T-000099,R-0027,2026-02-09,Onboarding,1.4,3
T-000100,R-0027,2026-03-15,Billing,39.1,1
T-000101,R-0027,2026-04-28,Billing,26.2,5
T-000102,R-0027,2026-04-04,Technical,16.1,3
T-000103,R-0027,2026-06-18,Billing,16.1,3
T-000104,R-0027,2026-07-06,Technical,23.5,3
T-000105,R-0028,2025-08-29,Onboarding,11.8,4
T-000106,R-0028,2025-08-29,Onboarding,10.6,4
T-000107,R-0028,2025-10-09,Billing,10.0,5
T-000108,R-0029,2026-02-28,Technical,13.3,3
T-000109,R-0029,2026-03-31,Technical,24.9,4
T-000110,R-0029,2026-06-14,Billing,17.2,4
T-000111,R-0029,2026-07-25,Technical,17.3,5
T-000112,R-0030,2026-07-16,Payments,21.8,3
T-000113,R-0031,2026-04-15,Onboarding,24.8,3
T-000114,R-0032,2026-02-27,Technical,10.7,5
T-000115,R-0032,2026-04-03,Menu,23.1,3
T-000116,R-0034,2026-08-20,Billing,17.9,4
T-000117,R-0034,2026-08-23,Onboarding,11.7,4
T-000118,R-0034,2026-08-31,Payments,30.8,4
T-000119,R-0035,2025-08-06,Billing,3.0,5
T-000120,R-0035,2025-09-23,Menu,22.3,4
T-000121,R-0035,2025-10-27,Technical,25.3,4
T-000122,R-0035,2026-03-18,Onboarding,5.4,3
T-000123,R-0035,2026-04-15,Technical,12.4,5
T-000124,R-0035,2026-07-13,Billing,1.0,4
T-000125,R-0036,2025-12-18,Menu,9.0,3
T-000126,R-0036,2026-02-04,Technical,28.6,4
T-000127,R-0036,2026-05-15,Billing,16.1,2
T-000128,R-0037,2025-06-29,Payments,14.2,5
