variable,coef,odds_ratio
cuisine_type_Sushi,0.9850452630496683,2.677933093096493
cuisine_type_Unknown,0.9601970984309007,2.6122112854326716
cuisine_type_Chinese,0.873544085184697,2.3953852770866666
cuisine_type_Thai,0.7923088453763276,2.208489605325842
cuisine_type_Indian,0.6756057862447319,1.9652231205811106
acquisition_channel_Referral,0.5420626606056688,1.7195500548843146
cuisine_type_Nordic,0.4448116071656471,1.5601962383523047
rolling_3m_orders,0.43442560877407316,1.5440759005382911
market_UK,0.3680318007459623,1.4448879867590991
tickets,0.3393303871544479,1.4040071345154905
acquisition_channel_Partner,0.3182707441813894,1.374748415980422
cuisine_type_Vegetarian,0.30666423964395256,1.3588846318786394
acquisition_channel_Paid search,0.24776131645658778,1.28115410529604
cuisine_type_Pizza,0.2442716546617665,1.2766911024758323
mrr_eur,0.20981122346599038,1.233445192469151
months_below_average,0.03981110865866418,1.0406141926160375
is_chain,0.027791182786137944,1.0281809601197018
acquisition_channel_Inbound,0.011162558458359416,1.011225092276559
cumulative_tickets,-0.011338741903753816,0.9887252993525959
city_size_Mid,-0.012601683033564657,0.9874773856925734
trend_3m,-0.034643034347198,0.9659501657535337
gmv_eur,-0.060335895934816634,0.9414482518277152
cancellation_rate,-0.06675883121463852,0.935420768426336
activity_ratio,-0.12965666150295718,0.8783969666475233
market_DK,-0.22873450052831576,0.795539720844378
peak_order_ratio,-0.2777016084539744,0.7575228262009746
tenure_months,-0.28857397554286357,0.7493313709021916
average_order_value_eur,-0.3325233025447474,0.7171119581357918
city_size_Small,-0.33409568866664574,0.7159852672736451
plan_id_PL-03,-0.3349368264910421,0.7153832781970147
cuisine_type_Kebab,-0.3706486118959648,0.6902864573972093
market_SE,-0.40732877995765565,0.6654253758057016
market_NO,-0.41653302947490595,0.6593287351538765
plan_id_PL-04,-0.6104234953986578,0.5431208111992541
plan_id_PL-02,-0.6964255991909675,0.49836347475769593
orders,-1.3968172623870458,0.2473830676913792
