restaurant_id,segment,segment_name
R-0002,1,Long Tail
R-0003,2,Volume Engine
R-0004,1,Long Tail
R-0005,2,Volume Engine
R-0006,1,Long Tail
R-0008,1,Long Tail
R-0009,2,Volume Engine
R-0010,0,High-Value Orders
R-0011,2,Volume Engine
R-0012,1,Long Tail
R-0013,1,Long Tail
R-0014,1,Long Tail
R-0015,0,High-Value Orders
R-0016,2,Volume Engine
R-0017,2,Volume Engine
R-0018,0,High-Value Orders
R-0019,1,Long Tail
R-0020,2,Volume Engine
R-0021,3,Support Intensive
R-0023,2,Volume Engine
R-0024,2,Volume Engine
R-0025,2,Volume Engine
R-0026,0,High-Value Orders
R-0027,1,Long Tail
R-0028,3,Support Intensive
R-0029,0,High-Value Orders
R-0030,0,High-Value Orders
R-0031,2,Volume Engine
R-0032,2,Volume Engine
R-0033,1,Long Tail
R-0035,0,High-Value Orders
R-0036,2,Volume Engine
R-0037,1,Long Tail
R-0039,1,Long Tail
R-0040,1,Long Tail
R-0041,0,High-Value Orders
R-0042,0,High-Value Orders
R-0043,2,Volume Engine
R-0044,2,Volume Engine
R-0045,1,Long Tail
R-0046,2,Volume Engine
R-0047,3,Support Intensive
R-0049,0,High-Value Orders
R-0050,1,Long Tail
R-0053,2,Volume Engine
R-0054,1,Long Tail
R-0055,0,High-Value Orders
R-0057,1,Long Tail
R-0058,1,Long Tail
R-0059,2,Volume Engine
R-0060,1,Long Tail
R-0061,2,Volume Engine
R-0062,0,High-Value Orders
R-0063,2,Volume Engine
R-0065,0,High-Value Orders
R-0066,2,Volume Engine
R-0068,1,Long Tail
R-0069,0,High-Value Orders
R-0070,1,Long Tail
R-0072,1,Long Tail
R-0073,1,Long Tail
R-0074,2,Volume Engine
R-0075,1,Long Tail
R-0076,1,Long Tail
R-0077,2,Volume Engine
R-0078,0,High-Value Orders
R-0079,0,High-Value Orders
R-0080,1,Long Tail
R-0081,0,High-Value Orders
R-0082,1,Long Tail
R-0083,0,High-Value Orders
R-0085,3,Support Intensive
R-0086,2,Volume Engine
R-0087,0,High-Value Orders
R-0089,0,High-Value Orders
R-0090,2,Volume Engine
R-0091,0,High-Value Orders
R-0092,3,Support Intensive
R-0094,1,Long Tail
R-0095,1,Long Tail
R-0096,1,Long Tail
R-0097,1,Long Tail
R-0098,3,Support Intensive
R-0099,0,High-Value Orders
R-0100,1,Long Tail
R-0101,0,High-Value Orders
R-0102,1,Long Tail
R-0103,2,Volume Engine
R-0104,2,Volume Engine
R-0105,0,High-Value Orders
R-0107,1,Long Tail
R-0108,2,Volume Engine
R-0109,0,High-Value Orders
R-0110,0,High-Value Orders
R-0111,0,High-Value Orders
R-0112,0,High-Value Orders
R-0113,1,Long Tail
R-0115,0,High-Value Orders
R-0117,0,High-Value Orders
R-0118,0,High-Value Orders
R-0119,0,High-Value Orders
R-0120,2,Volume Engine
R-0121,2,Volume Engine
R-0122,3,Support Intensive
R-0123,1,Long Tail
R-0124,0,High-Value Orders
R-0125,1,Long Tail
R-0126,2,Volume Engine
R-0128,1,Long Tail
R-0129,1,Long Tail
R-0130,0,High-Value Orders
R-0132,2,Volume Engine
R-0133,1,Long Tail
R-0134,2,Volume Engine
R-0135,0,High-Value Orders
R-0136,0,High-Value Orders
R-0140,0,High-Value Orders
R-0141,2,Volume Engine
R-0142,1,Long Tail
R-0143,0,High-Value Orders
R-0144,3,Support Intensive
R-0145,1,Long Tail
R-0146,2,Volume Engine
R-0148,3,Support Intensive
R-0151,0,High-Value Orders
R-0152,2,Volume Engine
R-0153,3,Support Intensive
R-0154,1,Long Tail
R-0155,2,Volume Engine
R-0157,2,Volume Engine
R-0158,2,Volume Engine
R-0159,0,High-Value Orders
R-0160,1,Long Tail
R-0161,0,High-Value Orders
R-0162,2,Volume Engine
R-0164,2,Volume Engine
R-0165,1,Long Tail
R-0166,2,Volume Engine
R-0167,2,Volume Engine
R-0168,2,Volume Engine
R-0170,1,Long Tail
R-0171,2,Volume Engine
R-0173,0,High-Value Orders
R-0174,1,Long Tail
R-0175,2,Volume Engine
R-0176,2,Volume Engine
R-0178,0,High-Value Orders
R-0179,3,Support Intensive
R-0180,2,Volume Engine
R-0181,3,Support Intensive
R-0182,2,Volume Engine
R-0184,2,Volume Engine
R-0185,3,Support Intensive
R-0186,0,High-Value Orders
R-0187,2,Volume Engine
R-0188,2,Volume Engine
R-0189,2,Volume Engine
R-0190,3,Support Intensive
R-0191,1,Long Tail
R-0193,1,Long Tail
R-0194,1,Long Tail
R-0195,0,High-Value Orders
R-0197,2,Volume Engine
R-0200,2,Volume Engine
R-0202,2,Volume Engine
R-0204,2,Volume Engine
R-0206,2,Volume Engine
R-0207,0,High-Value Orders
R-0209,1,Long Tail
R-0210,0,High-Value Orders
R-0211,1,Long Tail
R-0212,2,Volume Engine
R-0214,2,Volume Engine
R-0215,1,Long Tail
R-0217,2,Volume Engine
R-0218,2,Volume Engine
R-0219,2,Volume Engine
R-0220,2,Volume Engine
R-0223,2,Volume Engine
R-0224,3,Support Intensive
R-0225,3,Support Intensive
R-0226,2,Volume Engine
R-0227,0,High-Value Orders
R-0228,2,Volume Engine
R-0229,2,Volume Engine
R-0231,0,High-Value Orders
R-0232,2,Volume Engine
R-0233,2,Volume Engine
R-0234,3,Support Intensive
R-0235,0,High-Value Orders
R-0236,1,Long Tail
R-0237,0,High-Value Orders
R-0238,1,Long Tail
R-0239,2,Volume Engine
R-0241,0,High-Value Orders
R-0242,2,Volume Engine
R-0243,1,Long Tail
R-0245,2,Volume Engine
R-0246,1,Long Tail
R-0247,0,High-Value Orders
R-0248,0,High-Value Orders
R-0249,2,Volume Engine
R-0251,1,Long Tail
R-0253,1,Long Tail
R-0254,1,Long Tail
R-0257,1,Long Tail
R-0258,1,Long Tail
R-0259,1,Long Tail
R-0260,1,Long Tail
R-0261,2,Volume Engine
R-0262,1,Long Tail
R-0263,2,Volume Engine
R-0264,0,High-Value Orders
R-0268,3,Support Intensive
R-0269,0,High-Value Orders
R-0270,0,High-Value Orders
R-0271,0,High-Value Orders
R-0272,0,High-Value Orders
R-0273,2,Volume Engine
R-0274,3,Support Intensive
R-0275,1,Long Tail
R-0276,2,Volume Engine
R-0277,2,Volume Engine
R-0278,1,Long Tail
R-0279,0,High-Value Orders
R-0281,2,Volume Engine
R-0282,0,High-Value Orders
R-0284,2,Volume Engine
R-0285,0,High-Value Orders
R-0286,1,Long Tail
R-0287,0,High-Value Orders
R-0288,0,High-Value Orders
R-0289,1,Long Tail
R-0290,0,High-Value Orders
R-0291,0,High-Value Orders
R-0292,2,Volume Engine
R-0293,2,Volume Engine
R-0294,1,Long Tail
R-0295,0,High-Value Orders
R-0296,2,Volume Engine
R-0297,2,Volume Engine
R-0298,1,Long Tail
R-0299,1,Long Tail
R-0301,2,Volume Engine
R-0302,3,Support Intensive
R-0303,0,High-Value Orders
R-0304,2,Volume Engine
R-0305,1,Long Tail
R-0306,1,Long Tail
R-0308,2,Volume Engine
R-0309,0,High-Value Orders
R-0310,3,Support Intensive
R-0311,2,Volume Engine
R-0312,2,Volume Engine
R-0314,2,Volume Engine
R-0315,2,Volume Engine
R-0316,3,Support Intensive
R-0320,1,Long Tail
R-0321,0,High-Value Orders
R-0323,2,Volume Engine
R-0324,0,High-Value Orders
R-0326,2,Volume Engine
R-0327,1,Long Tail
R-0328,2,Volume Engine
R-0329,2,Volume Engine
R-0330,0,High-Value Orders
R-0331,1,Long Tail
R-0334,0,High-Value Orders
R-0335,1,Long Tail
R-0336,2,Volume Engine
R-0337,1,Long Tail
R-0338,2,Volume Engine
R-0339,2,Volume Engine
R-0340,2,Volume Engine
R-0341,1,Long Tail
R-0342,0,High-Value Orders
R-0343,1,Long Tail
R-0345,0,High-Value Orders
R-0346,3,Support Intensive
R-0347,0,High-Value Orders
R-0348,0,High-Value Orders
R-0349,0,High-Value Orders
R-0350,0,High-Value Orders
R-0351,0,High-Value Orders
R-0352,2,Volume Engine
R-0353,2,Volume Engine
R-0354,1,Long Tail
R-0355,1,Long Tail
R-0357,2,Volume Engine
R-0358,1,Long Tail
R-0359,0,High-Value Orders
R-0360,1,Long Tail
R-0361,3,Support Intensive
R-0362,2,Volume Engine
R-0363,2,Volume Engine
R-0364,0,High-Value Orders
R-0365,3,Support Intensive
R-0366,1,Long Tail
R-0367,0,High-Value Orders
R-0368,0,High-Value Orders
R-0369,2,Volume Engine
R-0371,2,Volume Engine
R-0372,2,Volume Engine
R-0374,2,Volume Engine
R-0375,2,Volume Engine
R-0376,0,High-Value Orders
R-0377,0,High-Value Orders
R-0378,2,Volume Engine
R-0379,2,Volume Engine
R-0381,1,Long Tail
R-0382,2,Volume Engine
R-0383,2,Volume Engine
R-0384,0,High-Value Orders
R-0385,1,Long Tail
R-0386,1,Long Tail
R-0387,3,Support Intensive
R-0388,1,Long Tail
R-0389,2,Volume Engine
R-0390,1,Long Tail
R-0391,0,High-Value Orders
R-0392,2,Volume Engine
R-0394,2,Volume Engine
R-0395,1,Long Tail
R-0397,0,High-Value Orders
R-0398,2,Volume Engine
R-0399,2,Volume Engine
R-0400,1,Long Tail
R-0401,0,High-Value Orders
R-0402,1,Long Tail
R-0403,1,Long Tail
R-0404,0,High-Value Orders
R-0407,2,Volume Engine
R-0408,1,Long Tail
R-0409,2,Volume Engine
R-0410,2,Volume Engine
R-0411,0,High-Value Orders
R-0412,1,Long Tail
R-0415,1,Long Tail
R-0416,1,Long Tail
R-0419,0,High-Value Orders
R-0420,0,High-Value Orders
R-0421,2,Volume Engine
R-0422,3,Support Intensive
R-0423,0,High-Value Orders
R-0424,2,Volume Engine
R-0425,0,High-Value Orders
R-0426,0,High-Value Orders
R-0428,2,Volume Engine
R-0429,0,High-Value Orders
R-0430,2,Volume Engine
R-0431,1,Long Tail
R-0432,1,Long Tail
R-0433,0,High-Value Orders
R-0434,2,Volume Engine
R-0435,3,Support Intensive
R-0436,1,Long Tail
R-0437,2,Volume Engine
R-0438,1,Long Tail
R-0439,0,High-Value Orders
R-0440,0,High-Value Orders
R-0442,0,High-Value Orders
R-0443,0,High-Value Orders
R-0444,1,Long Tail
R-0446,2,Volume Engine
R-0447,2,Volume Engine
R-0448,1,Long Tail
R-0449,0,High-Value Orders
R-0450,3,Support Intensive
R-0451,0,High-Value Orders
R-0453,0,High-Value Orders
R-0454,2,Volume Engine
R-0455,2,Volume Engine
R-0457,2,Volume Engine
R-0458,2,Volume Engine
R-0459,1,Long Tail
R-0461,1,Long Tail
R-0462,0,High-Value Orders
R-0463,2,Volume Engine
R-0464,0,High-Value Orders
R-0465,3,Support Intensive
R-0466,2,Volume Engine
R-0468,1,Long Tail
R-0469,0,High-Value Orders
R-0470,1,Long Tail
R-0471,2,Volume Engine
R-0472,2,Volume Engine
R-0473,0,High-Value Orders
R-0476,2,Volume Engine
R-0477,0,High-Value Orders
R-0478,2,Volume Engine
R-0479,3,Support Intensive
R-0480,1,Long Tail
R-0481,1,Long Tail
R-0482,1,Long Tail
R-0484,1,Long Tail
R-0486,2,Volume Engine
R-0487,0,High-Value Orders
R-0488,0,High-Value Orders
R-0489,1,Long Tail
R-0490,1,Long Tail
R-0491,0,High-Value Orders
R-0492,2,Volume Engine
R-0493,1,Long Tail
R-0495,0,High-Value Orders
R-0497,2,Volume Engine
R-0498,0,High-Value Orders
R-0499,1,Long Tail
R-0501,2,Volume Engine
R-0502,3,Support Intensive
R-0503,2,Volume Engine
R-0504,0,High-Value Orders
R-0505,0,High-Value Orders
R-0508,0,High-Value Orders
R-0509,0,High-Value Orders
R-0510,1,Long Tail
R-0511,2,Volume Engine
R-0512,1,Long Tail
R-0513,2,Volume Engine
R-0514,2,Volume Engine
R-0515,0,High-Value Orders
R-0516,1,Long Tail
R-0518,1,Long Tail
R-0519,2,Volume Engine
R-0520,1,Long Tail
R-0523,1,Long Tail
R-0524,0,High-Value Orders
R-0525,2,Volume Engine
R-0526,2,Volume Engine
R-0527,3,Support Intensive
R-0528,3,Support Intensive
R-0529,0,High-Value Orders
R-0530,1,Long Tail
R-0531,0,High-Value Orders
R-0533,2,Volume Engine
R-0534,3,Support Intensive
R-0535,0,High-Value Orders
R-0536,1,Long Tail
R-0538,2,Volume Engine
R-0539,2,Volume Engine
R-0540,1,Long Tail
R-0541,3,Support Intensive
R-0542,2,Volume Engine
R-0543,0,High-Value Orders
R-0544,2,Volume Engine
R-0545,2,Volume Engine
R-0546,3,Support Intensive
R-0547,2,Volume Engine
R-0548,2,Volume Engine
R-0549,2,Volume Engine
R-0550,1,Long Tail
R-0551,0,High-Value Orders
R-0552,2,Volume Engine
R-0553,0,High-Value Orders
R-0554,1,Long Tail
R-0555,2,Volume Engine
R-0556,0,High-Value Orders
R-0557,2,Volume Engine
R-0560,0,High-Value Orders
R-0561,3,Support Intensive
R-0562,3,Support Intensive
R-0563,3,Support Intensive
R-0564,3,Support Intensive
R-0565,3,Support Intensive
R-0566,2,Volume Engine
R-0567,1,Long Tail
R-0568,0,High-Value Orders
R-0569,0,High-Value Orders
R-0570,2,Volume Engine
R-0572,3,Support Intensive
R-0573,3,Support Intensive
R-0575,1,Long Tail
R-0576,1,Long Tail
R-0577,2,Volume Engine
R-0578,2,Volume Engine
R-0579,2,Volume Engine
R-0580,1,Long Tail
R-0581,0,High-Value Orders
R-0582,1,Long Tail
R-0584,1,Long Tail
R-0585,0,High-Value Orders
R-0586,2,Volume Engine
R-0587,2,Volume Engine
R-0588,3,Support Intensive
R-0589,2,Volume Engine
R-0590,2,Volume Engine
R-0592,2,Volume Engine
R-0593,0,High-Value Orders
R-0594,0,High-Value Orders
R-0596,1,Long Tail
R-0597,1,Long Tail
R-0598,1,Long Tail
R-0600,2,Volume Engine
