restaurant_id,segmento,nombre_segmento
R-0002,1,Larga cola
R-0003,2,Motor de volumen
R-0004,1,Larga cola
R-0005,2,Motor de volumen
R-0006,1,Larga cola
R-0008,1,Larga cola
R-0009,2,Motor de volumen
R-0010,0,Ticket alto
R-0011,2,Motor de volumen
R-0012,1,Larga cola
R-0013,1,Larga cola
R-0014,1,Larga cola
R-0015,0,Ticket alto
R-0016,2,Motor de volumen
R-0017,2,Motor de volumen
R-0018,0,Ticket alto
R-0019,1,Larga cola
R-0020,2,Motor de volumen
R-0021,3,Alta carga de soporte
R-0023,2,Motor de volumen
R-0024,2,Motor de volumen
R-0025,2,Motor de volumen
R-0026,0,Ticket alto
R-0027,1,Larga cola
R-0028,3,Alta carga de soporte
R-0029,0,Ticket alto
R-0030,0,Ticket alto
R-0031,2,Motor de volumen
R-0032,2,Motor de volumen
R-0033,1,Larga cola
R-0035,0,Ticket alto
R-0036,2,Motor de volumen
R-0037,1,Larga cola
R-0039,1,Larga cola
R-0040,1,Larga cola
R-0041,0,Ticket alto
R-0042,0,Ticket alto
R-0043,2,Motor de volumen
R-0044,2,Motor de volumen
R-0045,1,Larga cola
R-0046,2,Motor de volumen
R-0047,3,Alta carga de soporte
R-0049,0,Ticket alto
R-0050,1,Larga cola
R-0053,2,Motor de volumen
R-0054,1,Larga cola
R-0055,0,Ticket alto
R-0057,1,Larga cola
R-0058,1,Larga cola
R-0059,2,Motor de volumen
R-0060,1,Larga cola
R-0061,2,Motor de volumen
R-0062,0,Ticket alto
R-0063,2,Motor de volumen
R-0065,0,Ticket alto
R-0066,2,Motor de volumen
R-0068,1,Larga cola
R-0069,0,Ticket alto
R-0070,1,Larga cola
R-0072,1,Larga cola
R-0073,1,Larga cola
R-0074,2,Motor de volumen
R-0075,1,Larga cola
R-0076,1,Larga cola
R-0077,2,Motor de volumen
R-0078,0,Ticket alto
R-0079,0,Ticket alto
R-0080,1,Larga cola
R-0081,0,Ticket alto
R-0082,1,Larga cola
R-0083,0,Ticket alto
R-0085,3,Alta carga de soporte
R-0086,2,Motor de volumen
R-0087,0,Ticket alto
R-0089,0,Ticket alto
R-0090,2,Motor de volumen
R-0091,0,Ticket alto
R-0092,3,Alta carga de soporte
R-0094,1,Larga cola
R-0095,1,Larga cola
R-0096,1,Larga cola
R-0097,1,Larga cola
R-0098,3,Alta carga de soporte
R-0099,0,Ticket alto
R-0100,1,Larga cola
R-0101,0,Ticket alto
R-0102,1,Larga cola
R-0103,2,Motor de volumen
R-0104,2,Motor de volumen
R-0105,0,Ticket alto
R-0107,1,Larga cola
R-0108,2,Motor de volumen
R-0109,0,Ticket alto
R-0110,0,Ticket alto
R-0111,0,Ticket alto
R-0112,0,Ticket alto
R-0113,1,Larga cola
R-0115,0,Ticket alto
R-0117,0,Ticket alto
R-0118,0,Ticket alto
R-0119,0,Ticket alto
R-0120,2,Motor de volumen
R-0121,2,Motor de volumen
R-0122,3,Alta carga de soporte
