month,orders,gmv_eur,average_order_value_eur,restaurants_with_orders
2025-01,277,8405.32,30.34,22
2025-02,977,30320.28,31.03,37
2025-03,1875,60841.63,32.45,55
2025-04,2708,87760.28,32.41,79
2025-05,4063,132120.72,32.52,106
2025-06,5167,167233.86,32.37,126
2025-07,5655,181582.56,32.11,143
2025-08,7044,228330.14,32.41,173
2025-09,9984,319647.88,32.02,201
2025-10,11922,380376.98,31.91,224
2025-11,13759,438297.49,31.86,243
2025-12,16881,525569.72,31.13,266
2026-01,14649,461051.89,31.47,282
2026-02,16466,514797.96,31.26,301
2026-03,18687,584790.6,31.29,317
2026-04,20036,623042.27,31.1,331
2026-05,22788,706879.19,31.02,356
2026-06,23196,709730.79,30.6,384
2026-07,22087,671997.59,30.43,407
2026-08,24565,754478.37,30.71,441
