restaurant_id,restaurant_name,market,city,cuisine_type,plan_name,mrr_eur,subscription_start_date,orders,gmv_eur,latest_order_date
R-0446,Thai Bergen 0446,NO,Bergen,Thai,Enterprise,314.1,2025-01-22,3427,141648.0,2026-08-31
R-0424,Pizza Aarhus 0424,DK,Aarhus,Pizza,Enterprise,349.0,2026-06-01,4124,129313.85,2026-08-31
R-0210,Nordic Leeds 0210,UK,Leeds,Nordic,Pro,199.0,2025-08-01,1891,119876.85,2026-08-31
R-0010,Sushi Bristol 0010,UK,Bristol,Sushi,Enterprise,296.65,2025-09-01,2471,116201.0,2026-08-31
R-0126,Burger Aalborg 0126,DK,Aalborg,Burger,Pro,179.1,2025-01-20,3757,107853.56,2026-08-31
R-0429,Nordic Aarhus 0429,DK,Aarhus,Nordic,Enterprise,296.65,2026-06-01,1444,98889.89,2026-08-31
R-0367,Indian Leeds 0367,UK,Leeds,Indian,Pro,199.0,2025-05-01,2473,92044.83,2026-08-31
R-0323,Pizza Aarhus 0323,DK,Aarhus,Pizza,Pro,199.0,2026-07-01,2586,77268.81,2026-08-31
R-0352,Pizza Leeds 0352,UK,Leeds,Pizza,Enterprise,349.0,2025-10-29,2267,74006.92,2026-08-31
R-0314,Sushi Aalborg 0314,DK,Aalborg,Sushi,Enterprise,349.0,2026-01-05,1346,72424.25,2026-08-31
R-0005,Kebab Birmingham 0005,UK,Birmingham,Kebab,Enterprise,349.0,2026-03-01,3090,63588.58,2026-08-31
R-0447,Pizza Birmingham 0447,UK,Birmingham,Pizza,Enterprise,349.0,2026-01-01,2624,59448.06,2026-08-31
R-0162,Burger Esbjerg 0162,DK,Esbjerg,Burger,Pro,199.0,2025-05-21,2705,59054.91,2026-08-31
R-0538,Pizza Bergen 0538,NO,Bergen,Pizza,Growth,99.0,2025-01-08,2012,57864.28,2026-08-31
R-0426,Sushi Bristol 0426,UK,Bristol,Sushi,Pro,199.0,2025-09-01,1148,57314.99,2026-08-30
R-0164,Kebab Trondheim 0164,NO,Trondheim,Kebab,Enterprise,314.1,2025-06-19,2931,56989.42,2026-08-31
R-0348,Sushi Odense 0348,DK,Odense,Sushi,Enterprise,314.1,2026-08-01,1111,55119.56,2026-08-31
R-0328,Sushi Cologne 0328,DE,Cologne,Sushi,Pro,159.2,2025-11-17,1061,54959.58,2026-08-31
R-0190,Kebab London 0190,UK,London,Kebab,Enterprise,349.0,2026-06-01,2530,54110.92,2026-08-31
R-0334,Sushi Frankfurt 0334,DE,Frankfurt,Sushi,Growth,99.0,2025-06-06,1104,53738.02,2026-08-31
