month,orders,gmv_eur,previous_month_gmv,month_over_month_growth_pct,rolling_3m_gmv,cumulative_gmv
2025-01,277,8405.32,,,8405.32,8405.32
2025-02,977,30320.28,8405.32,260.73,19362.8,38725.6
2025-03,1875,60841.63,30320.28,100.66,33189.08,99567.23
2025-04,2708,87760.28,60841.63,44.24,59640.73,187327.51
2025-05,4063,132120.72,87760.28,50.55,93574.21,319448.23
2025-06,5167,167233.86,132120.72,26.58,129038.29,486682.09
2025-07,5655,181582.56,167233.86,8.58,160312.38,668264.65
2025-08,7044,228330.14,181582.56,25.74,192382.19,896594.79
2025-09,9984,319647.88,228330.14,39.99,243186.86,1216242.67
2025-10,11922,380376.98,319647.88,19.0,309451.67,1596619.65
2025-11,13759,438297.49,380376.98,15.23,379440.78,2034917.14
2025-12,16881,525569.72,438297.49,19.91,448081.4,2560486.86
2026-01,14649,461051.89,525569.72,-12.28,474973.03,3021538.75
2026-02,16466,514797.96,461051.89,11.66,500473.19,3536336.71
2026-03,18687,584790.6,514797.96,13.6,520213.48,4121127.31
2026-04,20036,623042.27,584790.6,6.54,574210.28,4744169.58
2026-05,22788,706879.19,623042.27,13.46,638237.35,5451048.77
2026-06,23196,709730.79,706879.19,0.4,679884.08,6160779.56
2026-07,22087,671997.59,709730.79,-5.32,696202.52,6832777.15
2026-08,24565,754478.37,671997.59,12.27,712068.92,7587255.52
