restaurant_id,restaurant_name,market,latest_month,orders,prior_3m_average,change_pct
R-0080,Pizza Aarhus 0080,DK,2026-07,4,15.7,-74.5
R-0294,Sushi Birmingham 0294,UK,2025-06,4,12.0,-66.7
R-0118,Indian London 0118,UK,2026-02,17,47.7,-64.3
R-0097,Sushi Berlin 0097,DE,2025-10,3,8.0,-62.5
R-0174,Chinese Hamburg 0174,DE,2026-03,6,15.7,-61.7
R-0019,Nordic Esbjerg 0019,DK,2026-08,5,13.0,-61.5
R-0594,Sushi Hamburg 0594,DE,2026-08,14,34.7,-59.6
R-0349,Pizza Cologne 0349,DE,2026-07,12,29.3,-59.1
R-0025,Pizza Stavanger 0025,NO,2026-01,20,45.0,-55.6
R-0497,Burger Aarhus 0497,DK,2026-07,29,63.3,-54.2
R-0054,Chinese Bristol 0054,UK,2026-08,4,8.7,-53.8
R-0357,Pizza Aarhus 0357,DK,2026-05,54,117.0,-53.8
R-0123,Vegetarian Birmingham 0123,UK,2026-04,3,6.3,-52.6
R-0567,Vegetarian Aalborg 0567,DK,2026-06,3,6.3,-52.6
R-0365,Vegetarian Stavanger 0365,NO,2026-08,6,12.5,-52.0
R-0002,Chinese Bristol 0002,UK,2026-01,31,64.3,-51.8
R-0484,Kebab Aalborg 0484,DK,2026-08,10,20.7,-51.6
R-0466,Burger Odense 0466,DK,2026-01,31,63.3,-51.1
R-0385,Pizza Bristol 0385,UK,2026-02,15,30.3,-50.5
R-0128,Pizza Copenhagen 0128,DK,2026-08,13,25.0,-48.0
