mes,activos_inicio,bajas,churn_clientes_pct,churn_ingresos_pct,nrr_pct
2025-02-01,22,0,0.0,0.0,100.0
2025-03-01,37,1,2.7,1.1,98.9
2025-04-01,56,3,5.36,6.73,94.8
2025-05-01,81,2,2.47,2.85,98.7
2025-06-01,106,1,0.94,0.81,98.4
2025-07-01,127,9,7.09,4.33,96.6
2025-08-01,146,3,2.05,2.55,98.2
2025-09-01,178,8,4.49,3.05,99.0
2025-10-01,206,10,4.85,4.75,96.4
2025-11-01,226,10,4.42,3.52,98.2
2025-12-01,243,10,4.12,2.64,98.1
2026-01-01,266,12,4.51,3.89,97.6
2026-02-01,283,15,5.3,5.85,95.8
2026-03-01,302,9,2.98,2.04,98.0
2026-04-01,317,17,5.36,5.27,94.8
2026-05-01,332,10,3.01,2.16,99.3
2026-06-01,358,11,3.07,2.69,99.1
2026-07-01,386,12,3.11,1.89,101.0
2026-08-01,408,14,3.43,3.33,99.2
