mes,mrr_eur,gmv_eur,comision_eur,ingreso_total_eur,pct_ingreso_por_comision
2025-01-01,2614.15,8405.32,148.41,2762.56,5.4
2025-02-01,4460.15,30320.28,506.7,4966.85,10.2
2025-03-01,6602.3,60841.63,1020.9,7623.2,13.4
2025-04-01,9406.15,87760.28,1512.83,10918.98,13.9
2025-05-01,12173.25,132120.72,2248.67,14421.92,15.6
2025-06-01,14798.05,167233.86,2905.46,17703.51,16.4
2025-07-01,17311.05,181582.56,3048.02,20359.07,15.0
2025-08-01,20598.0,228330.14,3880.43,24478.43,15.9
2025-09-01,25181.5,319647.88,5270.45,30451.95,17.3
2025-10-01,27745.05,380376.98,6248.83,33993.88,18.4
2025-11-01,30706.15,438297.49,7099.87,37806.02,18.8
2025-12-01,34467.0,525569.72,8414.76,42881.76,19.6
2026-01-01,36528.7,461051.89,7290.64,43819.34,16.6
2026-02-01,38897.95,514797.96,8116.17,47014.12,17.3
2026-03-01,41046.95,584790.6,9196.45,50243.4,18.3
2026-04-01,43482.85,623042.27,9883.5,53366.35,18.5
2026-05-01,46686.2,706879.19,10920.23,57606.43,19.0
2026-06-01,51617.2,709730.79,10913.3,62530.5,17.5
2026-07-01,56456.35,671997.59,10047.02,66503.37,15.1
2026-08-01,61803.45,754478.37,11203.38,73006.83,15.3
