mes,mrr_nuevo,mrr_reactivado,mrr_expansion,mrr_contraccion,mrr_baja,mrr_neto,mrr_cierre
2025-01-01,2614.15,0.0,0.0,0.0,0.0,2614.15,2614.15
2025-02-01,1846.0,0.0,0.0,0.0,0.0,1846.0,4460.15
2025-03-01,2191.15,0.0,0.0,0.0,-49.0,2142.15,6602.3
2025-04-01,3148.5,0.0,100.0,0.0,-444.65,2803.85,9406.15
2025-05-01,2885.25,0.0,150.0,0.0,-268.15,2767.1,12173.25
2025-06-01,2818.8,0.0,135.0,-230.0,-99.0,2624.8,14798.05
2025-07-01,3019.4,0.0,180.0,-45.0,-641.4,2513.0,17311.05
2025-08-01,3594.05,0.0,135.0,0.0,-442.1,3286.95,20598.0
2025-09-01,4793.65,0.0,417.5,0.0,-627.65,4583.5,25181.5
2025-10-01,3459.0,0.0,350.0,-50.0,-1195.45,2563.55,27745.05
2025-11-01,3466.9,0.0,520.0,-50.0,-975.8,2961.1,30706.15
2025-12-01,4331.15,0.0,330.0,-90.0,-810.3,3760.85,34467.0
2026-01-01,2872.6,0.0,615.0,-85.0,-1340.9,2061.7,36528.7
2026-02-01,3892.5,0.0,662.5,-50.0,-2135.75,2369.25,38897.95
2026-03-01,2943.0,0.0,450.0,-450.0,-794.0,2149.0,41046.95
2026-04-01,4549.85,0.0,452.5,-402.5,-2163.95,2435.9,43482.85
2026-05-01,3524.15,0.0,720.0,-100.0,-940.8,3203.35,46686.2
2026-06-01,5332.95,0.0,955.0,-100.0,-1256.95,4931.0,51617.2
2026-07-01,4307.9,0.0,1655.0,-150.0,-973.75,4839.15,56456.35
2026-08-01,5794.05,0.0,1535.0,-100.0,-1881.95,5347.1,61803.45
