mes,clientes_activos,mrr_eur,arr_eur,arpu_eur,pedidos,gmv_eur,gmv_por_cliente_eur,crecimiento_mrr_pct
2025-01-01,22,2614.15,31369.8,118.83,277,8405.32,382.06,
2025-02-01,37,4460.15,53521.8,120.54,977,30320.28,819.47,70.62
2025-03-01,56,6602.3,79227.6,117.9,1875,60841.63,1086.46,48.03
2025-04-01,81,9406.15,112873.8,116.13,2708,87760.28,1083.46,42.47
2025-05-01,106,12173.25,146079.0,114.84,4063,132120.72,1246.42,29.42
2025-06-01,127,14798.05,177576.6,116.52,5167,167233.86,1316.8,21.56
2025-07-01,146,17311.05,207732.6,118.57,5655,181582.56,1243.72,16.98
2025-08-01,178,20598.0,247176.0,115.72,7044,228330.14,1282.75,18.99
2025-09-01,206,25181.5,302178.0,122.24,9984,319647.88,1551.69,22.25
2025-10-01,226,27745.05,332940.6,122.77,11922,380376.98,1683.08,10.18
2025-11-01,243,30706.15,368473.8,126.36,13759,438297.49,1803.69,10.67
2025-12-01,266,34467.0,413604.0,129.58,16881,525569.72,1975.83,12.25
2026-01-01,283,36528.7,438344.4,129.08,14649,461051.89,1629.16,5.98
2026-02-01,302,38897.95,466775.4,128.8,16466,514797.96,1704.63,6.49
2026-03-01,317,41046.95,492563.4,129.49,18687,584790.6,1844.77,5.52
2026-04-01,332,43482.85,521794.2,130.97,20036,623042.27,1876.63,5.93
2026-05-01,358,46686.2,560234.4,130.41,22788,706879.19,1974.52,7.37
2026-06-01,386,51617.2,619406.4,133.72,23196,709730.79,1838.68,10.56
2026-07-01,408,56456.35,677476.2,138.37,22087,671997.59,1647.05,9.38
2026-08-01,443,61803.45,741641.4,139.51,24565,754478.37,1703.11,9.47
