cohort,cohort_size,lifecycle_month,active_subscriptions,retention_pct,mrr_eur,arpu_eur
2025-01,22,0,22,100.0,2614.15,118.83
2025-01,22,1,22,100.0,2614.15,118.83
2025-01,22,2,21,95.5,2565.15,122.15
2025-01,22,3,20,90.9,2616.15,130.81
2025-01,22,4,19,86.4,2597.0,136.68
2025-01,22,5,19,86.4,2547.0,134.05
2025-01,22,6,18,81.8,2448.0,136.0
2025-01,22,7,18,81.8,2583.0,143.5
2025-01,22,8,18,81.8,2710.5,150.58
2025-01,22,9,18,81.8,2710.5,150.58
2025-01,22,10,17,77.3,2631.3,154.78
2025-01,22,11,16,72.7,2582.3,161.39
2025-01,22,12,16,72.7,2582.3,161.39
2025-01,22,13,15,68.2,2483.3,165.55
2025-01,22,14,14,63.6,2314.15,165.3
2025-01,22,15,14,63.6,2314.15,165.3
2025-01,22,16,14,63.6,2614.15,186.72
2025-01,22,17,14,63.6,2614.15,186.72
2025-01,22,18,14,63.6,2614.15,186.72
2025-01,22,19,14,63.6,2764.15,197.44
2025-02,15,0,15,100.0,1846.0,123.07
2025-02,15,1,15,100.0,1846.0,123.07
2025-02,15,2,13,86.7,1450.35,111.57
2025-02,15,3,13,86.7,1450.35,111.57
2025-02,15,4,13,86.7,1585.35,121.95
2025-02,15,5,13,86.7,1585.35,121.95
2025-02,15,6,13,86.7,1585.35,121.95
2025-02,15,7,13,86.7,1685.35,129.64
2025-02,15,8,12,80.0,1586.35,132.2
2025-02,15,9,11,73.3,1544.7,140.43
2025-02,15,10,10,66.7,1450.7,145.07
2025-02,15,11,8,53.3,1132.7,141.59
2025-02,15,12,8,53.3,1132.7,141.59
2025-02,15,13,7,46.7,1088.6,155.51
2025-02,15,14,7,46.7,1088.6,155.51
2025-02,15,15,7,46.7,1088.6,155.51
2025-02,15,16,6,40.0,889.6,148.27
2025-02,15,17,6,40.0,889.6,148.27
2025-02,15,18,6,40.0,939.6,156.6
2025-03,20,0,20,100.0,2191.15,109.56
2025-03,20,1,20,100.0,2191.15,109.56
2025-03,20,2,19,95.0,2092.15,110.11
2025-03,20,3,19,95.0,1912.15,100.64
2025-03,20,4,16,80.0,1689.95,105.62
2025-03,20,5,16,80.0,1689.95,105.62
2025-03,20,6,15,75.0,1640.95,109.4
2025-03,20,7,12,60.0,1323.8,110.32
2025-03,20,8,12,60.0,1523.8,126.98
2025-03,20,9,12,60.0,1568.8,130.73
2025-03,20,10,11,55.0,1399.65,127.24
2025-03,20,11,11,55.0,1399.65,127.24
2025-03,20,12,11,55.0,1399.65,127.24
2025-03,20,13,11,55.0,1354.65,123.15
2025-03,20,14,11,55.0,1354.65,123.15
2025-03,20,15,11,55.0,1354.65,123.15
2025-03,20,16,11,55.0,1354.65,123.15
2025-03,20,17,11,55.0,1354.65,123.15
2025-04,28,0,28,100.0,3148.5,112.45
2025-04,28,1,28,100.0,3148.5,112.45
2025-04,28,2,27,96.4,3049.5,112.94
2025-04,28,3,23,82.1,2903.5,126.24
2025-04,28,4,23,82.1,2903.5,126.24
2025-04,28,5,21,75.0,2725.3,129.78
2025-04,28,6,20,71.4,2676.3,133.81
2025-04,28,7,19,67.9,2512.3,132.23
2025-04,28,8,19,67.9,2612.3,137.49
2025-04,28,9,18,64.3,2478.3,137.68
2025-04,28,10,17,60.7,2376.6,139.8
2025-04,28,11,16,57.1,2327.6,145.47
