cohort,signups,M1,M2,M3,M4,M5,M6,M9,M12
2025-01,22,100.0,95.0,91.0,86.0,86.0,82.0,82.0,73.0
2025-02,15,100.0,87.0,87.0,87.0,87.0,87.0,73.0,53.0
2025-03,20,100.0,95.0,95.0,80.0,80.0,75.0,60.0,55.0
2025-04,28,100.0,96.0,82.0,82.0,75.0,71.0,64.0,54.0
2025-05,27,100.0,96.0,89.0,85.0,85.0,85.0,78.0,67.0
2025-06,22,100.0,95.0,95.0,82.0,68.0,68.0,59.0,59.0
2025-07,28,100.0,86.0,82.0,82.0,71.0,71.0,54.0,50.0
2025-08,35,100.0,97.0,89.0,89.0,89.0,80.0,71.0,63.0
2025-09,36,100.0,97.0,92.0,83.0,78.0,72.0,58.0,
2025-10,30,100.0,90.0,83.0,77.0,73.0,67.0,60.0,
2025-11,27,100.0,96.0,93.0,93.0,85.0,85.0,81.0,
2025-12,33,100.0,94.0,91.0,88.0,82.0,73.0,,
2026-01,29,100.0,97.0,93.0,90.0,90.0,90.0,,
2026-02,34,100.0,91.0,85.0,82.0,79.0,79.0,,
2026-03,24,100.0,100.0,92.0,92.0,88.0,,,
2026-04,32,100.0,97.0,91.0,88.0,,,,
2026-05,36,100.0,97.0,89.0,,,,,
2026-06,39,100.0,100.0,,,,,,
2026-07,34,100.0,,,,,,,
2026-08,49,,,,,,,,
